VARIABLE	DESCRIPTION	TYPE	KEY	MINVAL	MAXVAL	CHOICESET	REQUIRED	LENGTH	VALUEFUNCTION	DEFAULT	VALUEFORMATREGEXP	BCDBITRATE
PERSON_ID	person_id	Integer	1				yes					
GENDER_CONCEPT_ID	gender_concept_id	Integer										
YEAR_OF_BIRTH	year_of_birth	Integer										
MONTH_OF_BIRTH	month_of_birth	Integer										
DAY_OF_BIRTH	day_of_birth	Integer										
BIRTH_DATETIME	birth_datetime	Timestamp										
RACE_CONCEPT_ID	race_concept_id	Integer										
ETHNICITY_CONCEPT_ID	ethnicity_concept_id	Integer										
LOCATION_ID	location_id	Integer										
PROVIDER_ID	provider_id	Integer										
CARE_SITE_ID	care_site_id	Integer										
PERSON_SOURCE_VALUE	person_source_value	Text						50				
GENDER_SOURCE_VALUE	gender_source_value	Text						50				
GENDER_SOURCE_CONCEPT_ID	gender_source_concept_id	Integer										
RACE_SOURCE_VALUE	race_source_value	Text						50				
RACE_SOURCE_CONCEPT_ID	race_source_concept_id	Integer										
ETHNICITY_SOURCE_VALUE	ethnicity_source_value	Text						50				
ETHNICITY_SOURCE_CONCEPT_ID	ethnicity_source_concept_id	Integer										
