table,field
attribute_definition,attribute_definition_id
attribute_definition,attribute_name
attribute_definition,attribute_description
attribute_definition,attribute_type_concept_id
attribute_definition,attribute_syntax
cdm_source,cdm_source_name
cdm_source,cdm_source_abbreviation
cdm_source,cdm_holder
cdm_source,source_description
cdm_source,source_documentation_reference
cdm_source,cdm_etl_reference
cdm_source,source_release_date
cdm_source,cdm_release_date
cdm_source,cdm_version
cdm_source,vocabulary_version
metadata,metadata_concept_id
metadata,metadata_type_concept_id
metadata,name
metadata,value_as_string
metadata,value_as_concept_id
metadata,metadata_date
metadata,metadata_datetime
relationship,relationship_id
relationship,relationship_name
relationship,is_hierarchical
relationship,defines_ancestry
relationship,reverse_relationship_id
relationship,relationship_concept_id
drug_exposure,drug_exposure_id
drug_exposure,person_id
drug_exposure,drug_concept_id
drug_exposure,drug_exposure_start_date
drug_exposure,drug_exposure_start_datetime
drug_exposure,drug_exposure_end_date
drug_exposure,drug_exposure_end_datetime
drug_exposure,verbatim_end_date
drug_exposure,drug_type_concept_id
drug_exposure,stop_reason
drug_exposure,refills
drug_exposure,quantity
drug_exposure,days_supply
drug_exposure,sig
drug_exposure,route_concept_id
drug_exposure,lot_number
drug_exposure,provider_id
drug_exposure,visit_occurrence_id
drug_exposure,visit_detail_id
drug_exposure,drug_source_value
drug_exposure,drug_source_concept_id
drug_exposure,route_source_value
drug_exposure,dose_unit_source_value
device_exposure,device_exposure_id
device_exposure,person_id
device_exposure,device_concept_id
device_exposure,device_exposure_start_date
device_exposure,device_exposure_start_datetime
device_exposure,device_exposure_end_date
device_exposure,device_exposure_end_datetime
device_exposure,device_type_concept_id
device_exposure,unique_device_id
device_exposure,quantity
device_exposure,provider_id
device_exposure,visit_occurrence_id
device_exposure,visit_detail_id
device_exposure,device_source_value
device_exposure,device_source_concept_id
fact_relationship,domain_concept_id_1
fact_relationship,fact_id_1
fact_relationship,domain_concept_id_2
fact_relationship,fact_id_2
fact_relationship,relationship_concept_id
location,location_id
location,address_1
location,address_2
location,city
location,state
location,zip
location,county
location,country
location,location_source_value
location,latitude
location,longitude
location_history,location_history_id
location_history,location_id
location_history,relationship_type_concept_id
location_history,domain_id
location_history,entity_id
location_history,start_date
location_history,end_date
care_site,care_site_id
care_site,care_site_name
care_site,place_of_service_concept_id
care_site,location_id
care_site,care_site_source_value
care_site,place_of_service_source_value
note_nlp,note_nlp_id
note_nlp,note_id
note_nlp,section_concept_id
note_nlp,snippet
note_nlp,offset
note_nlp,lexical_variant
note_nlp,note_nlp_concept_id
note_nlp,nlp_system
note_nlp,nlp_date
note_nlp,nlp_datetime
note_nlp,term_exists
note_nlp,term_temporal
note_nlp,term_modifiers
note_nlp,note_nlp_source_concept_id
observation,observation_id
observation,person_id
observation,observation_concept_id
observation,observation_date
observation,observation_datetime
observation,observation_type_concept_id
observation,value_as_number
observation,value_as_string
observation,value_as_concept_id
observation,qualifier_concept_id
observation,unit_concept_id
observation,provider_id
observation,visit_occurrence_id
observation,visit_detail_id
observation,observation_source_value
observation,observation_source_concept_id
observation,unit_source_value
observation,qualifier_source_value
observation,observation_event_id
observation,obs_event_field_concept_id
observation,value_as_datetime
source_to_concept_map,source_code
source_to_concept_map,source_concept_id
source_to_concept_map,source_vocabulary_id
source_to_concept_map,source_code_description
source_to_concept_map,target_concept_id
source_to_concept_map,target_vocabulary_id
source_to_concept_map,valid_start_date
source_to_concept_map,valid_end_date
source_to_concept_map,invalid_reason
person,person_id
person,gender_concept_id
person,year_of_birth
person,month_of_birth
person,day_of_birth
person,birth_datetime
person,death_datetime
person,race_concept_id
person,ethnicity_concept_id
person,location_id
person,provider_id
person,care_site_id
person,person_source_value
